gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000161904.12_LEMD2	127.313211614057	0.882239557565451	0.164309637862536	5.36937193120434	7.90113218399626e-08	1.86951704099925e-06
ENSG00000167925.16_GHDC	46.1008801157804	0.880800114135527	0.234663173392674	3.75346545178454	0.000174406579186095	0.00124612646065042
ENSG00000114626.18_ABTB1	1239.6394182979	0.880695364714166	0.188895013236487	4.66235370444417	3.12613303234132e-06	4.21654599384811e-05
ENSG00000118162.14_KPTN	7.1197516181098	0.880263102560278	0.337054305758689	2.61163583292271	0.00901101833064053	0.0320891777709345
ENSG00000250903.9_GMDS-DT	54.8357679294127	0.879309763664187	0.193999239847903	4.53254231487492	5.82779968855532e-06	7.02578077555669e-05
ENSG00000188305.6_PEAK3	68.8956795660249	0.87859448959318	0.309188350520622	2.84161575982334	0.00448855532603939	0.0182694064181408
ENSG00000182325.11_FBXL6	16.5316928452383	0.878350193839572	0.305675737966121	2.87347042877483	0.00405989083261085	0.0168367009062601
ENSG00000161526.15_SAP30BP	119.70156345119	0.878274535887415	0.130719755084982	6.7187590377326	1.83278696348588e-11	1.59551741783794e-09
ENSG00000165714.11_BORCS5	53.8333809235224	0.878111974485029	0.179590347342612	4.88952768051513	1.01078209382102e-06	1.66024137470146e-05
ENSG00000241852.10_C8orf58	8.53085591256186	0.877814788440971	0.298151386748133	2.94419153308354	0.00323799544629092	0.0140049175436442
ENSG00000145491.12_ROPN1L	21.1577388589229	0.877793851182383	0.298699813852104	2.93871576236404	0.00329575170630486	0.0142034117986443
ENSG00000105063.19_PPP6R1	768.428703158839	0.877648641713919	0.210577124694319	4.16782517563551	3.0751964029702e-05	0.000284670263390591
ENSG00000181788.4_SIAH2	1704.62823937499	0.877257925420875	0.345289775087717	2.54064263906459	0.0110648949556246	0.037891059889973
ENSG00000157353.17_FCSK	35.840006209202	0.876672826679421	0.329595311063276	2.65984617272396	0.00781763471431225	0.0286349653026167
ENSG00000104980.8_TIMM44	25.9149901425898	0.876631442448135	0.253718337804021	3.45513631389651	0.000550014668065838	0.00324434118009586
ENSG00000179361.18_ARID3B	126.031185731717	0.876395923479424	0.140231674453891	6.2496288865722	4.11429104403674e-10	2.26210217850157e-08
ENSG00000124126.14_PREX1	2285.33996042007	0.875565271195408	0.178284163495849	4.9110658738671	9.0582648250232e-07	1.51161603026525e-05
ENSG00000087903.13_RFX2	71.3298359223522	0.87518974584463	0.246636015073221	3.54850748616257	0.000387420985341431	0.00241840055175934
ENSG00000148334.16_PTGES2	33.9753351324658	0.87482959246382	0.268634771618188	3.25657615800838	0.00112764675266962	0.00587090047433997
ENSG00000142552.8_RCN3	44.5767408571586	0.874191044615183	0.325183056095867	2.68830441263048	0.00718158936043903	0.0267602900851886
ENSG00000167522.16_ANKRD11	579.769668034458	0.873775089997239	0.160570987021682	5.44167477702093	5.27819722438176e-08	1.3350771744432e-06
ENSG00000131876.17_SNRPA1	54.1761089943631	0.87359036707757	0.248275066457061	3.51863914304362	0.000433766281616207	0.00265543425140297
ENSG00000249673.7_NOP14-AS1	30.7379725933236	0.87357229293236	0.175668099894398	4.97285673071836	6.59734182203671e-07	1.1602547364294e-05
ENSG00000104043.15_ATP8B4	124.536398667908	0.87348716352418	0.320994318770658	2.72119197270984	0.00650469745206737	0.0246066709878768
ENSG00000140368.13_PSTPIP1	263.118551688601	0.873107423663172	0.182743308139266	4.77778055214908	1.77240659362501e-06	2.61887489113206e-05
ENSG00000168096.15_ANKS3	14.632579390585	0.873012407832347	0.354199954206782	2.46474455307999	0.0137110962209305	0.0449287850288426
ENSG00000153815.17_CMIP	613.515171593368	0.872852035412573	0.140745551315679	6.20163143526184	5.58808226462894e-10	2.86859466228237e-08
ENSG00000107736.22_CDH23	100.539213288571	0.872727172600252	0.26976401667477	3.23515042279497	0.00121578660979747	0.0062227902103132
ENSG00000122515.15_ZMIZ2	144.056359208656	0.872299189871656	0.192833246914524	4.52359333169511	6.07984908666393e-06	7.27110972911674e-05
ENSG00000101493.11_ZNF516	436.110233677242	0.872185309692635	0.194041555865093	4.49483774650323	6.96230144756721e-06	8.10832576053632e-05
ENSG00000100038.20_TOP3B	43.7606496365415	0.871819276395646	0.238474626842672	3.65581566449335	0.000256365529161755	0.001715096061728
ENSG00000254826.1_CTD-2530H12.2	12.6533226405152	0.871552564710633	0.353701816602301	2.46408846039543	0.0137362205445501	0.0449969984065983
ENSG00000071462.12_BUD23	36.516587570961	0.871079846599458	0.250642113346885	3.47539300147018	0.000510105441549846	0.00304243019991463
ENSG00000179091.5_CYC1	52.5517742317213	0.870567934520616	0.212831639698874	4.09040655680869	4.30617680209883e-05	0.00037929575011067
ENSG00000113749.7_HRH2	269.828155252793	0.86980245114334	0.24762648604559	3.51255822845705	0.000443814742516501	0.00270417655742119
ENSG00000171992.13_SYNPO	13.2586019845678	0.868930396732553	0.337671116748404	2.57330388544895	0.0100732717755187	0.0350651228267097
ENSG00000077454.16_LRCH4	147.543586403876	0.868680564077631	0.163164605675878	5.32395221671568	1.01536589251129e-07	2.31089755906736e-06
ENSG00000167657.14_DAPK3	48.7152459720972	0.86859094423813	0.162236499851276	5.35385653064738	8.60991362628108e-08	2.01666956719608e-06
ENSG00000146828.18_SLC12A9	299.786029893156	0.866514238550203	0.212554801312461	4.07666273920769	4.56866837118682e-05	0.000399218687909687
ENSG00000160685.13_ZBTB7B	371.954337913358	0.866377960761438	0.145615500915733	5.94976465632464	2.68528314824062e-09	1.10223223607448e-07
ENSG00000251441.3_RTEL1P1	64.3302234276389	0.865672583703113	0.291893741100895	2.96571135933979	0.00301983762616233	0.0132105250258395
ENSG00000136048.14_DRAM1	39.5829710904204	0.864365252500571	0.257546368201418	3.3561539172029	0.000790345697470822	0.00437770218909276
ENSG00000127191.18_TRAF2	26.4131704583919	0.863734350189206	0.250765803724682	3.44438650469865	0.000572356873882283	0.00335588269584606
ENSG00000007237.19_GAS7	480.114323883796	0.863603848545022	0.20964788728426	4.11930623166294	3.80014833223227e-05	0.000340319327498194
ENSG00000167740.10_CYB5D2	19.0161524697202	0.862846078178937	0.262438444723719	3.28780365653856	0.00100972232573011	0.00534620591775957
ENSG00000285999.1_AC025442.4	9.43153278504784	0.862621439375432	0.287375076236951	3.00172670041911	0.00268453069404931	0.0119513956511341
ENSG00000120725.13_SIL1	32.4333563939896	0.86238963438412	0.20055537018031	4.30000769168526	1.70792181505768e-05	0.000173221410106797
ENSG00000264853.1_RP11-16C1.2	49.236825784295	0.860403901591124	0.21968593932018	3.91651784476354	8.98371688998951e-05	0.000713133727137352
ENSG00000116353.16_MECR	8.26047479283315	0.860147069968455	0.281491832273322	3.0556732784107	0.00224555805605916	0.0103022495531937
ENSG00000187837.4_H1-2	368.732860032611	0.859340662684161	0.194613142638838	4.41563530104912	1.00713761135511e-05	0.000110457354929356
