"","Intrahepatic cholangiocyte","NK Cell","Monocyte","Macrophage","Secretory cell","Respiratory ciliated cell","Ionocyte/luminal epithelial cell of mammary gland","Fibroblast/mesenchymal stem cell","Respiratory secretory cell","Mast cell","Basal cell","Endothelial cell","neutrophil","B cell","T Cell","Erythrocyte/erythroid progenitor","Platelet","Basophil","Stromal cell","Mature conventional dendritic cell","Adventitial cell","Gland cell","Salivary/bronchial secretory cell","Pericyte cell","Myeloid progenitor","Pancreatic Stellate cell","Pancreatic alpha/beta cell","Basal prostate cell","Prostate epithelia","Salivary gland cell","Intestinal enterocyte","Intestinal secretory cell","Intestinal tuft cell","Type II Pneumocyte","Cell of skeletal muscle","Schwann cell","Tendon cell","Mesothelial cell","Plasmablast","Kidney epithelial cell","Thymocyte"
"prevail_cu_cfrna_43",0.00363374129293131,0.0122513822755426,0.000647710007707271,0.00751448425406743,0.00123511996677672,0.00689816791851332,0.00282573534371561,0.000865892817631154,0.000554686870519779,0.00234480063142512,0.00119434746397325,0.00233871225115036,0.0003697009352744,0.00116291352379602,0.0459567820510415,0.00835074936185695,0.767253511751962,0.00190567372775331,0.0564082549615273,0.000602698679709869,0.000708884006556077,0.000517378926886197,0.000671530026856438,0.00171004243814419,0.00200956641999072,0.000631447839787238,0.0011422556921414,0.00058520490901989,0.00065355008173603,0.000841712490011278,0.0201544287818039,0.000515993103433528,0.0340099520220032,0.00057980604985283,0.00124709167625476,0.00352068315477818,0.00120092713347335,0.00262243671990106,0.000270776310580502,0.000855794863602344,0.00123547126631167
"prevail_cu_cfrna_44",0.0107164194997863,0.0986259015662851,0.000628769719441944,0.0195989388937529,0.000468216836992149,0.021815395186446,0.00111242737641311,0.00488732702221532,0.000500957718651084,0.00130034241922905,0.00458583187215206,0.0208707095946307,0.000357640731970798,0.00374375655998795,0.0486431857965798,0.0241140679520287,0.502157069636221,0.000462330307096365,0.0463493363027418,0.000371687449094228,0.00435975298969128,0.000455723984505631,0.000397497407316035,0.00909876577083643,0.034331637116976,0.000759094856525919,0.0135397473246474,0.000588937623297992,0.00215556835235482,0.000788740620661676,0.0460903460823563,0.000772355687510819,0.0475337152755172,0.000556477194325132,0.000367903489344247,0.00720563060180434,0.00102382259292915,0.0006679695763837,0.000163622313300101,0.0076420544699538,0.0101903242280452
"prevail_cu_cfrna_45",0.0191382600410964,0.0678589993581142,0.000533282144707271,0.016449955396241,0.000690181578004652,0.0568533218601504,0.0012760358329305,0.0201925250984684,0.000393377875266011,0.000772165435116772,0.0125135302628345,0.0363495169386663,0.000384878902273947,0.0299683201345042,0.0411709892634012,0.0207065429503644,0.342471595806978,0.000687893145350437,0.0254975126826138,0.00113026854053091,0.00360571810963354,0.000655311612844283,0.000409422817065707,0.019974628774111,0.0950653007893344,0.000386984905114301,0.0290549108444348,0.000576353392574629,0.0159229825846636,0.00137101131371636,0.0350305398748045,0.000636408348678116,0.0532844149614047,0.000817361807419924,0.000938477109997705,0.0124889697731537,0.00191345841806469,0.00323532273181744,0.000428528182345538,0.0150502314622186,0.0141145089389891
"prevail_cu_cfrna_46",4.98874775356858e-06,5.3020581253579e-06,3.87813520856687e-06,4.20570348639786e-06,5.60923101693986e-06,1.37840528306871e-05,4.0167704060133e-06,3.51009218202005e-06,6.50287038431578e-06,4.28973258448669e-06,2.69749728560064e-06,1.30817480810228e-05,2.63005742921977e-06,0.244814163496437,5.70013554293931e-06,1.67241560355481e-06,3.04897794197256e-06,5.19863076943202e-06,3.549034952303e-06,0.0513421689060899,4.1709979923962e-06,3.54764228376285e-06,4.80419955493032e-06,4.30693627029367e-06,0.679872501359461,5.51487375156545e-06,6.20372457412049e-06,4.95611351074928e-06,6.53763843689026e-06,4.06475473621494e-06,3.37019834962622e-06,3.40901938686025e-06,0.0212663364392613,1.85024427944652e-05,5.03426282004127e-06,4.57616365226815e-06,2.83801248696887e-06,3.80076432009159e-06,2.47781382297468e-05,6.75939347328079e-06,0.00249398863054313
"prevail_cu_cfrna_47",0.0494062521335436,0.0870231075243023,0.00212874304022764,0.0207449956007126,0.000762738390283418,0.138245756714173,0.00166943749801329,0.0532113404142283,0.000854851485481173,0.001050745424507,0.0165908162183356,0.06858181662087,0.00997801856486114,0.0196741412343821,0.0112385622915785,0.00043652825622282,0.0297720526168489,0.00240110964601795,0.00137914835561448,0.00167869874028798,0.0409574168126121,0.0024730929852447,0.00363045971076962,0.04403947484325,0.0541597155660581,0.00176847525444945,0.0611389138277511,0.00131867311309031,0.0684392722466964,0.0135486985813345,0.0495133838680074,0.00376930496361252,0.0412523698886569,0.00146734976810754,0.00173143175637526,0.0230584982282811,0.0305010919275667,0.00478074260646651,0.000702923454558496,0.0209264463130511,0.0139934035135682
"prevail_cu_cfrna_48",0.0478579052348042,0.0896900049898882,0.00530750349533473,0.016792358179274,0.0013711485596572,0.159037747153377,0.00111409434070851,0.0433987946737898,0.0014124173883999,0.00312977502510471,0.0186394724971225,0.0214336600790386,0.0353479465706351,0.0149130977424878,0.00255294272482456,0.00105340534999082,0.015944897797402,0.00976880669260469,0.0018869238071349,0.0013718734417532,0.0591235469999334,0.00224220660009243,0.00197127115731175,0.0390612521235728,0.0330218469557783,0.00139324554588614,0.0769740308960501,0.00495864794562831,0.052217450182491,0.0292757095312392,0.0668620711834984,0.00894003970153826,0.0579181108310519,0.00125158726706471,0.00188016404356597,0.0167625335341672,0.0140810204860298,0.0189731307417529,0.00183659172182993,0.0160764458553946,0.00315432095279054
"prevail_cu_cfrna_49",0.0480905899073691,0.071721143167554,0.000327347661592164,0.0025209172840319,0.000301125933628064,0.186762944369239,0.000501429082073245,0.0649925384462852,0.000174979962444296,0.000292305064546327,0.0424724063156138,0.0051018102275404,0.00594566218646835,0.00639913358542931,0.00111101458243334,0.000155689662366426,0.000590662717463563,0.00727006807383884,0.00017466655249683,0.00083867477973185,0.0684851171122288,0.000829370967637724,0.000858405303410414,0.0710943657073893,0.0152111492173761,0.00020679104690429,0.0929956985591845,0.000482660718614623,0.0668202595172343,0.0320293368303746,0.0818085723331777,0.00422516343073376,0.0296724611075288,0.000704477411960008,0.000365165048450563,0.0144842543713802,0.0339914100159716,0.00722314691267811,0.000302329904267531,0.0179110858876168,0.0145536690337348
"prevail_cu_cfrna_50",0.0550052148051632,0.057373942939617,0.00243310724141728,0.00256801898469872,0.000403424769315401,0.195490628845582,0.000291935457998536,0.0771642527961603,0.00018619454100866,0.000671818517030631,0.0331956717875201,0.00453663377183036,0.00665669824990454,0.0103552976766263,0.000587130155671147,0.000282795263904222,0.0025951170525855,0.00246043522327277,0.000167179625071206,0.000516682742766735,0.0674003890812049,0.00410051927243291,0.000992190178279971,0.0654844483205878,0.0145629389700664,0.000321417228445019,0.0851367084150551,0.000502211432933717,0.0548312776099614,0.0445555585590546,0.0759158104553766,0.00653787363405583,0.0436994784535977,0.000389958501579548,0.000316385606396607,0.0113645372856534,0.0325541054045625,0.00739207114078695,0.000202796490833608,0.0171243114240457,0.0136728320879452
"prevail_cu_cfrna_51",0.0642871415891816,0.0615513895131702,0.00160664820945412,0.00511231283971092,0.00423923621128672,0.144252014398088,0.000568233153401691,0.0436912074957558,0.000875183739712045,0.00333853843650292,0.0345348467020921,0.0393124940759549,0.0148363092024714,0.00860685036281512,0.00512617763299972,0.00188245728698924,0.0160098283832863,0.0083194533838248,0.00105993715635493,0.0055534696249535,0.0504118258359022,0.00307789634179053,0.00246050142619704,0.0735959720139481,0.035511323829873,0.000822475475097699,0.0683030635790011,0.00111312074561406,0.0480004905182544,0.0432739449891298,0.0584365544422298,0.00794381206443555,0.0556933543746408,0.00151088240752735,0.000818996350145527,0.0148274309691781,0.0309408701249456,0.00604663969059269,0.000931526965504229,0.0163181586072056,0.0151974298507808
"prevail_cu_cfrna_52",0.0329397557724357,0.0366767774398582,0.00137500671998571,0.0110202193223561,0.012529608865737,0.154884753570388,0.00091674330640535,0.0608934177304887,0.00101590612005985,0.00148043445828437,0.0335153722068205,0.00381090385466168,0.00449939087239077,0.00426509793148641,0.0025627761788123,0.00306135346462025,0.0158744704146134,0.00193557880898971,0.000877328312599703,0.00222736262539671,0.060651806881265,0.0016485992675674,0.00177463153358066,0.041610142602672,0.0187180048354329,0.00132198640583776,0.116811551347409,0.00127779448108751,0.0515231653082068,0.0260819117203032,0.0818445010732317,0.0304111820442634,0.0693798447585461,0.00846847570578462,0.000729754231170151,0.0236503686592105,0.0215474649318426,0.0111066993486534,0.00202601272977009,0.0229048367039702,0.0201490074538047
